ENSEMBL	SYMBOL	KO01	KO02	KO03	WT01	WT02	WT03
ENSG00000009724.16	MASP2	133	128	103	90	106	105
ENSG00000009765.14	IYD	0	0	0	0	0	0
ENSG00000009780.15	FAM76A	1073	898	667	833	877	847
ENSG00000009790.14	TRAF3IP3	10	9	4	2	7	8
ENSG00000009830.11	POMT2	750	706	491	732	790	825
ENSG00000009844.15	VTA1	3694	2858	2123	3064	3305	3414
ENSG00000009950.15	MLXIPL	1	1	1	4	1	5
ENSG00000009954.10	BAZ1B	23865	20309	16563	17264	19249	19942
ENSG00000010017.12	RANBP9	5015	4309	3011	3657	4041	4108
ENSG00000010030.13	ETV7	20	18	14	3	7	6
ENSG00000010072.15	SPRTN	1588	1264	851	1168	1276	1204
ENSG00000010165.19	METTL13	3441	2833	2132	2854	2921	3377
ENSG00000010219.13	DYRK4	326	309	219	231	251	310
ENSG00000010244.16	ZNF207	16859	15244	12441	11047	12309	14055
ENSG00000010256.10	UQCRC1	8515	7433	6227	6962	7679	8980
ENSG00000010270.13	STARD3NL	1352	1074	755	1151	1288	1273
ENSG00000010278.11	CD9	3511	2840	1963	2971	3505	3374
ENSG00000010282.14	HHATL	0	0	0	0	0	0
ENSG00000010292.12	NCAPD2	33366	27474	21617	21837	24332	26594
ENSG00000010295.19	IFFO1	1391	1211	904	1148	1131	1305
ENSG00000010310.8	GIPR	175	156	88	182	193	210
ENSG00000010318.19	PHF7	330	322	241	389	437	397
ENSG00000010319.6	SEMA3G	16	18	5	12	10	22
ENSG00000010322.15	NISCH	3813	3587	2747	3126	3287	3810
ENSG00000010327.10	STAB1	2	2	2	1	4	1
ENSG00000010361.13	FUZ	1126	966	748	824	929	1024
ENSG00000010379.15	SLC6A13	9	8	5	5	5	12
ENSG00000010404.17	IDS	6433	5301	4289	5208	6046	5484
ENSG00000010438.16	PRSS3	1	2	0	0	1	1
ENSG00000010539.11	ZNF200	669	503	363	654	698	693
ENSG00000010610.9	CD4	35	38	41	50	76	49
ENSG00000010626.14	LRRC23	403	392	314	280	359	375
ENSG00000010671.15	BTK	7699	6691	4941	6781	7469	8122
ENSG00000010704.18	HFE	101	84	73	119	130	144
ENSG00000010803.16	SCMH1	2741	2560	2318	2187	2518	2907
ENSG00000010810.17	FYN	3306	2772	2224	3699	4004	5017
ENSG00000010818.8	HIVEP2	4291	3530	3155	3028	3334	3344
ENSG00000010932.15	FMO1	12	8	4	16	20	11
ENSG00000011007.12	TCEB3	6553	5814	4701	4247	4740	5379
ENSG00000011009.10	LYPLA2	2527	2402	1874	1916	2142	2654
ENSG00000011021.21	CLCN6	2276	2512	1794	3077	3437	3250
ENSG00000011028.13	MRC2	3	9	6	6	8	9
ENSG00000011052.21	NME1-NME2	0	0	0	0	0	0
ENSG00000011083.8	SLC6A7	0	0	0	0	0	0
ENSG00000011105.11	TSPAN9	17	12	11	4	21	20
ENSG00000011114.14	BTBD7	3507	2794	2246	2285	2495	2328
ENSG00000011132.11	APBA3	1449	1403	1130	1071	1154	1436
ENSG00000011143.16	MKS1	545	412	307	408	437	511
ENSG00000011198.7	ABHD5	469	465	321	359	427	429
ENSG00000011201.10	ANOS1	0	0	0	0	0	0
ENSG00000011243.17	AKAP8L	3678	3271	2373	2495	2698	3371
ENSG00000011258.15	MBTD1	2211	1739	1131	1917	2127	1906
ENSG00000011260.13	UTP18	5648	4261	2963	4600	4936	4908
ENSG00000011275.18	RNF216	3730	2997	2411	2947	3175	3524
ENSG00000011295.15	TTC19	2567	2138	1493	2057	2272	2395
ENSG00000011304.17	PTBP1	59344	55360	47259	38745	43295	49525
ENSG00000011332.19	DPF1	567	515	450	444	515	641
ENSG00000011347.9	SYT7	6	1	1	2	10	3
ENSG00000011376.9	LARS2	3701	3038	2221	2822	3031	3229
ENSG00000011405.13	PIK3C2A	7414	5855	3601	5860	6509	5323
ENSG00000011422.11	PLAUR	0	0	0	1	2	3
ENSG00000011426.10	ANLN	4169	3309	2313	3069	3298	3143
ENSG00000011451.17	WIZ	4580	4262	3998	3113	3352	4094
ENSG00000011454.16	RABGAP1	3761	2995	2063	3193	3324	3352
ENSG00000011465.16	DCN	15	13	11	21	21	16
ENSG00000011478.11	QPCTL	3309	3347	2536	2709	3031	3650
ENSG00000011485.14	PPP5C	10660	9569	7415	7726	8610	9785
ENSG00000011523.13	CEP68	2070	1782	1183	1502	1700	1594
ENSG00000011566.14	MAP4K3	781	601	494	575	670	567
ENSG00000011590.13	ZBTB32	378	389	285	409	411	503
ENSG00000011600.11	TYROBP	7	7	11	2	4	3
ENSG00000011638.10	TMEM159	1333	891	555	1212	1383	1439
ENSG00000011677.12	GABRA3	0	0	0	0	0	0
ENSG00000012048.20	BRCA1	9714	7270	5417	7027	7758	7230
ENSG00000012061.15	ERCC1	2785	2667	2214	1917	2139	2838
ENSG00000012124.14	CD22	16474	16599	14236	15962	18386	19301
ENSG00000012171.17	SEMA3B	6	4	6	9	7	4
ENSG00000012174.11	MBTPS2	1158	936	631	1069	1246	1073
ENSG00000012211.12	PRICKLE3	895	846	870	716	787	1086
ENSG00000012223.12	LTF	2	0	1	0	1	1
ENSG00000012232.8	EXTL3	2290	1901	1608	1907	2219	2290
ENSG00000012504.13	NR1H4	1	0	2	2	0	5
ENSG00000012660.13	ELOVL5	11147	9215	6022	9151	10264	10291
ENSG00000012779.10	ALOX5	1148	1244	883	1186	1369	1273
ENSG00000012817.15	KDM5D	979	835	632	1079	1070	1111
ENSG00000012822.15	CALCOCO1	1580	1582	1326	1225	1234	1387
ENSG00000012963.13	UBR7	5252	4285	2908	3749	4283	4046
ENSG00000012983.11	MAP4K5	1536	1170	883	1130	1267	1222
ENSG00000013016.14	EHD3	2143	2000	1547	1578	1862	1903
ENSG00000013275.7	PSMC4	6036	5429	4646	5145	5778	7282
ENSG00000013288.8	MAN2B2	1787	1604	1386	1266	1422	1590
ENSG00000013293.5	SLC7A14	1	0	0	1	0	0
ENSG00000013297.10	CLDN11	2	4	5	4	6	8
ENSG00000013306.15	SLC25A39	8747	8140	7092	6351	7051	8790
ENSG00000013364.18	MVP	2109	1855	1443	1561	1817	1980
ENSG00000013374.15	NUB1	4367	3777	2986	3560	4029	4460
ENSG00000013375.15	PGM3	1793	1340	765	1527	1788	1655
ENSG00000013392.7	RWDD2A	253	203	134	216	326	263
ENSG00000013441.15	CLK1	2705	2263	1292	2059	2028	1983
ENSG00000013503.9	POLR3B	3263	2683	2000	2426	2767	2810
ENSG00000013523.9	ANGEL1	1952	1839	1437	1522	1689	1741
ENSG00000013561.17	RNF14	2097	1479	997	1658	1806	1683
ENSG00000013563.13	DNASE1L1	296	293	307	290	359	406
ENSG00000013573.16	DDX11	3353	3204	2607	2394	2544	2770
ENSG00000013583.8	HEBP1	194	139	107	152	215	185
ENSG00000013588.5	GPRC5A	0	1	2	4	0	0
ENSG00000013619.13	MAMLD1	4	2	0	3	2	3
ENSG00000013725.14	CD6	0	0	0	1	0	0
ENSG00000013810.18	TACC3	14698	12565	10027	8872	9559	11613
ENSG00000014123.9	UFL1	3115	2375	1447	2615	2803	2546
ENSG00000014138.8	POLA2	6948	6221	5067	4804	5287	6118
ENSG00000014164.6	ZC3H3	2067	2000	2010	1505	1715	2258
ENSG00000014216.15	CAPN1	6113	5523	4963	5332	6369	7259
ENSG00000014257.15	ACPP	548	526	327	431	490	425
ENSG00000014641.17	MDH1	7773	5835	3833	6399	7146	6509
ENSG00000014824.13	SLC30A9	5366	4051	2304	3509	4128	3567
ENSG00000014914.19	MTMR11	85	72	56	74	74	65
ENSG00000014919.12	COX15	3109	2419	1580	2590	2843	3000
ENSG00000015133.18	CCDC88C	15550	14200	12197	10738	11918	12679
ENSG00000015153.14	YAF2	1737	1337	733	1188	1437	1284
ENSG00000015171.18	ZMYND11	2072	1625	1062	1126	1249	1144
ENSG00000015285.10	WAS	5364	5230	5618	3974	4463	5967
ENSG00000015413.9	DPEP1	0	0	2	1	2	1
ENSG00000015475.18	BID	3891	3265	2340	2697	3069	3397
ENSG00000015479.17	MATR3	95	88	45	83	113	69
ENSG00000015520.14	NPC1L1	12	8	9	3	8	4
ENSG00000015532.9	XYLT2	796	798	643	628	741	867
ENSG00000015568.12	RGPD5	0	0	0	0	0	0
ENSG00000015592.16	STMN4	3	1	1	2	0	0
ENSG00000015676.17	NUDCD3	3745	3065	2370	3529	4086	3874
ENSG00000016082.14	ISL1	0	0	0	0	0	0
ENSG00000016391.10	CHDH	1791	1729	1213	1606	1921	1734
ENSG00000016402.13	IL20RA	0	0	0	1	0	0
ENSG00000016490.15	CLCA1	0	0	0	0	0	0
ENSG00000016602.9	CLCA4	1	1	0	0	1	0
ENSG00000016864.16	GLT8D1	2026	1725	1149	1645	1760	1695
ENSG00000017260.19	ATP2C1	9394	7029	4296	7613	7887	7502
ENSG00000017427.15	IGF1	15	17	12	13	15	15
ENSG00000017483.14	SLC38A5	1737	1578	1313	1575	1835	1989
ENSG00000017797.11	RALBP1	6435	5476	4276	4993	5545	5840
ENSG00000018189.12	RUFY3	3305	2636	1599	2909	3198	2806
ENSG00000018236.14	CNTN1	0	0	0	0	0	1
ENSG00000018280.16	SLC11A1	6	3	4	7	7	10
ENSG00000018408.14	WWTR1	44	36	32	30	45	48
ENSG00000018510.12	AGPS	6291	4463	2886	5580	5714	5337
ENSG00000018610.13	CXorf56	1878	1565	1051	1405	1591	1618
ENSG00000018625.14	ATP1A2	1	0	0	0	0	0
ENSG00000018699.11	TTC27	4021	3162	2274	3452	3623	4100
ENSG00000018869.16	ZNF582	211	145	100	142	192	180
ENSG00000019102.11	VSIG2	7	7	10	7	5	7
ENSG00000019144.16	PHLDB1	37	41	23	44	59	44
ENSG00000019169.10	MARCO	0	0	0	0	0	0
ENSG00000019186.9	CYP24A1	1	2	1	0	2	1
ENSG00000019485.12	PRDM11	710	586	555	891	956	1004
ENSG00000019505.7	SYT13	1013	734	527	727	821	769
ENSG00000019549.8	SNAI2	207	185	144	94	91	146
ENSG00000019582.14	CD74	141075	141048	145266	89750	106286	139402
ENSG00000019991.15	HGF	1	0	3	1	0	0
ENSG00000019995.6	ZRANB1	1043	908	670	937	940	1025
ENSG00000020129.15	NCDN	4506	4039	3429	3175	3669	4215
ENSG00000020181.17	ADGRA2	19	12	18	18	20	12
ENSG00000020256.19	ZFP64	2390	2231	1921	1633	1868	2306
ENSG00000020426.10	MNAT1	1613	1231	928	1303	1451	1595
ENSG00000020577.13	SAMD4A	360	318	258	351	323	310
ENSG00000020633.18	RUNX3	10874	10160	9947	8561	9585	12598
ENSG00000020922.12	MRE11A	3056	2437	1543	2087	2263	2116
ENSG00000021300.13	PLEKHB1	882	780	739	584	778	806
ENSG00000021355.12	SERPINB1	4716	3844	2731	4328	4628	5027
ENSG00000021461.16	CYP3A43	3	1	4	4	15	3
ENSG00000021488.12	SLC7A9	4	0	1	1	1	0
ENSG00000021574.11	SPAST	2647	1959	1307	2176	2385	2167
ENSG00000021645.18	NRXN3	0	0	3	0	1	0
ENSG00000021762.19	OSBPL5	0	0	0	2	2	1
ENSG00000021776.10	AQR	8366	6567	4878	5153	5537	5641
ENSG00000021826.14	CPS1	8	8	2	9	1	8
ENSG00000021852.12	C8B	0	0	0	0	0	0
ENSG00000022267.16	FHL1	52	51	37	45	69	56
ENSG00000022277.12	RTFDC1	4066	3004	2020	3267	3445	3656
ENSG00000022355.15	GABRA1	0	1	0	0	0	0
ENSG00000022556.15	NLRP2	1	1	0	1	1	2
ENSG00000022567.9	SLC45A4	661	623	492	507	551	594
ENSG00000022840.15	RNF10	12563	10927	8623	10076	11387	12717
ENSG00000022976.15	ZNF839	319	261	189	299	301	301
ENSG00000023041.11	ZDHHC6	1909	1570	1038	1759	1830	1943
ENSG00000023171.14	GRAMD1B	1956	2004	1591	1538	1932	1872
ENSG00000023191.16	RNH1	4587	4058	2914	3606	3979	4816
ENSG00000023228.13	NDUFS1	10805	8301	5804	8447	9631	8605
ENSG00000023287.12	RB1CC1	7090	5202	3240	5307	5749	5144
ENSG00000023318.7	ERP44	4870	4114	3321	3556	3852	4333
ENSG00000023330.14	ALAS1	6480	5719	4652	4690	5317	6115
ENSG00000023445.13	BIRC3	33127	25215	15182	27533	30070	25947
ENSG00000023516.8	AKAP11	7769	5875	4525	6257	6762	5448
ENSG00000023572.8	GLRX2	1049	661	421	808	889	865
ENSG00000023608.4	SNAPC1	554	450	275	564	609	564
ENSG00000023697.12	DERA	1867	1247	876	1372	1545	1402
ENSG00000023734.10	STRAP	13855	11288	8675	10292	11329	12137
ENSG00000023839.10	ABCC2	29	24	19	38	32	31
ENSG00000023892.10	DEF6	1477	1290	1009	1067	1189	1423
ENSG00000023902.13	PLEKHO1	1812	1602	1392	2047	2327	2902
ENSG00000023909.9	GCLM	2654	1970	1099	2171	2325	2310
ENSG00000024048.10	UBR2	5137	3867	2954	3685	4009	3784
ENSG00000024422.11	EHD2	1	1	2	0	0	2
